Team,Games,Plays,Yards,Total TDs,Total Penalties,Total Penalty Yards,Total Off. Penalties,Total Def. Penalties,Def. Takeaways,Off. Giveaways,1st Down Att,3rd Down Att,3rd Down Success,4th Down Att,4th Down  Success,Off. Total TDs,XPA,XPM,2PA,2PM,PTS,10 Play Drives,5 Min Drives,3 and Out Drives,Total Drives,Scoring Drives,TOP
Arizona Cardinals,16,1083,6153,49,113,868,66,47,21,21,381,202,80,25,17,49,46,45,3,0,410,37,22,30,179,74,465:00:00
Atlanta Falcons,16,1078,5895,41,83,736,34,49,21,18,366,221,97,26,15,40,38,34,3,1,396,36,28,35,174,78,491:13:00
Baltimore Ravens,16,993,5810,55,104,961,54,50,22,18,327,207,101,19,12,51,53,52,2,2,468,28,31,33,170,77,504:00:00
Buffalo Bills,16,1034,6343,60,102,941,65,37,26,22,397,187,93,10,8,56,59,57,1,0,501,40,34,22,170,84,508:07:00
Carolina Panthers,16,993,5592,38,95,752,44,51,22,21,335,195,76,27,15,35,36,33,2,1,350,30,31,19,159,64,495:49:00
Chicago Bears,16,1043,5302,40,88,777,41,47,18,22,335,205,71,28,17,38,37,36,3,2,372,33,26,35,175,68,487:31:00
Cincinnati Bengals,16,1040,5116,33,83,675,53,30,17,24,318,213,77,27,19,32,33,32,0,0,311,36,29,46,179,59,498:24:00
Cleveland Browns,16,1022,5913,50,100,870,59,41,21,16,355,196,88,24,8,48,48,43,2,2,408,35,25,24,165,68,494:24:00
Dallas Cowboys,16,1113,5949,42,96,849,43,53,23,26,371,215,87,31,17,39,36,33,6,4,395,41,17,27,180,76,453:48:00
Denver Broncos,16,1030,5369,35,81,670,48,33,16,32,308,212,82,15,4,34,30,25,5,2,323,27,13,37,188,64,463:40:00
Detroit Lions,16,991,5603,45,95,860,46,49,12,21,350,192,79,20,10,44,41,38,4,2,377,27,18,30,170,65,446:25:00
Green Bay Packers,16,990,6224,66,84,684,36,48,18,11,358,180,89,21,13,64,63,59,3,2,509,30,35,27,161,80,521:14:00
Houston Texans,16,940,6004,44,80,619,48,32,9,18,326,193,83,16,9,43,40,37,4,1,384,23,16,29,163,72,436:48:00
Indianapolis Colts,16,1032,6049,50,94,899,48,46,25,15,364,197,78,26,16,44,45,43,5,3,451,40,27,20,171,77,497:40:00
Jacksonville Jaguars,16,997,5218,37,107,1071,43,64,17,25,310,207,84,26,7,34,28,24,9,3,306,27,18,30,171,54,445:42:00
Kansas City Chiefs,16,1057,6653,57,105,919,58,47,22,16,397,194,95,16,9,53,54,48,3,3,473,32,20,22,163,79,488:23:00
Los Angeles Rams,16,1088,6032,43,71,655,49,22,22,25,352,226,98,17,8,39,42,38,1,1,372,34,25,39,184,63,512:21:00
Los Angeles Chargers,16,1127,6113,45,85,710,44,41,19,16,373,224,99,25,12,43,39,36,5,2,384,40,28,33,175,68,511:23:00
Las Vegas Raiders,16,1036,6133,48,98,856,42,56,15,26,359,198,91,21,16,48,47,45,1,1,434,37,28,23,169,81,497:05:00
Miami Dolphins,16,1021,5424,42,74,635,39,35,29,20,345,202,78,10,8,39,36,36,6,4,404,30,26,45,181,76,500:27:00
Minnesota Vikings,16,1023,6292,55,82,650,55,27,22,23,383,181,74,23,13,55,43,37,12,8,430,29,23,30,176,72,480:33:00
New England Patriots,16,979,5236,36,62,534,31,31,22,19,332,186,76,17,9,32,33,30,3,1,326,30,21,26,157,58,463:25:00
New Orleans Saints,16,1045,6023,59,98,1005,38,60,26,17,367,208,93,16,11,58,58,57,1,0,482,29,27,36,178,81,514:50:00
New York Giants,16,966,4794,27,81,634,44,37,22,22,297,198,72,22,14,25,23,21,4,2,280,28,21,28,167,57,459:12:00
New York Jets,16,948,4479,26,101,952,41,60,19,19,269,206,70,18,7,25,24,20,2,1,243,26,22,46,175,47,446:23:00
Philadelphia Eagles,16,1066,5354,42,107,853,54,53,19,29,336,220,82,35,15,38,26,24,16,7,334,31,21,44,190,55,468:14:00
Pittsburgh Steelers,16,1043,5354,50,81,691,46,35,27,18,322,230,97,19,10,47,45,41,5,2,416,28,23,48,188,70,492:58:00
Seattle Seahawks,16,1022,5912,55,84,662,51,33,22,18,356,189,76,14,8,55,53,49,2,1,459,25,22,32,178,79,482:02:00
San Francisco 49ers,16,1046,5922,45,85,731,46,39,20,31,350,197,77,15,6,44,40,38,4,1,376,34,26,37,183,66,502:09:00
Tampa Bay Buccaneers,16,1017,6145,59,84,715,41,43,25,17,364,191,83,14,8,58,57,52,2,0,492,26,13,29,180,86,462:29:00
Tennessee Titans,16,1031,6343,62,86,783,45,41,23,12,381,182,84,16,10,59,53,51,7,4,491,34,24,27,167,81,459:22:00
Washington Football Team,16,1051,5076,37,87,697,41,46,23,27,322,225,88,19,11,34,33,30,4,0,335,33,27,45,183,61,478:37:00
